"","rowid","UNIQUE_ID","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","2036","2037","2038","2039","2040","2041","2042","2043","2044","2045","2046","2047","2048","2049","2050","2051","2052","2053","2054","2055","2056","2057","2058","2059","2060","2061","2062","2063","2064","2065","2066","2067","2068","2069","2070","2071","2072","2073","2074","2075","2076","2077","2078","2079","2080","2081","2082","2083","2084","2085","2086","2087","2088","2089","2090","2091","2092","2093","2094","2095","2096","2097","2098","2099","2100"
"1","0","10330100104",3,2,2,3,3,3,2,3,2,2,2,2,2,3,2,3,2,3,2,2,2,2,2,2,2,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,2,3,3,3,3,3,3,2,4,3,4,3,3,4,3,3,3,3,4,2,3,3,3,4,3,4,4,4,3,4,4,4,3
"2","1","10331100104",3,2,2,3,2,2,2,2,2,2,2,2,2,3,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,3,3,3,2,3,3,3,2,3,3,3,2,3,3,2,3,3,3,3,3,2,2,3,3,3,2,3,3,2,3,3,3,4,2,3,3,3,3,3,3,4,3,3,4,4,3,3
"3","2","10332100104",3,2,2,3,3,3,2,3,2,2,2,2,2,3,2,3,2,3,2,2,2,2,2,2,2,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,2,3,3,3,3,3,3,2,4,3,4,3,3,4,3,3,3,3,4,2,3,3,3,4,3,4,4,4,3,4,4,4,3
"4","3","10333100104",3,2,2,3,3,3,2,3,2,2,2,2,2,3,2,3,2,3,2,2,2,2,2,2,2,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,2,3,3,3,3,3,3,2,4,3,4,3,3,4,3,3,3,3,4,2,3,3,3,4,3,4,4,4,3,4,4,4,3
"5","4","10334100104",3,2,2,3,2,2,2,2,2,2,2,2,2,3,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,3,3,3,2,3,3,3,2,3,3,3,2,3,3,2,3,3,3,3,3,2,2,3,3,3,2,3,3,2,3,3,3,4,2,3,3,3,3,3,3,4,3,3,4,4,3,3
"6","5","10335100104",3,2,2,3,2,2,2,2,2,2,2,2,2,3,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,3,3,3,2,3,3,3,2,3,3,3,2,3,3,2,3,3,3,3,3,2,2,3,3,3,2,3,3,2,3,3,3,4,2,3,3,3,3,3,3,4,3,3,4,4,3,3
"7","6","10336100104",1,0,0,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,1,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,2,1,1,2,1,1,2,1,2,1,1,1,1,2,2,2,3,2,1,3,3,2,1
"8","7","10337100104",1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,2,1,1,2,2,1,1,2,1,2,2,2,1,2,1,1,2,1,2,1,2,2,1,2,2,2,2,1,2,2,2,2,2,2,3,2,1,3,3,2,2
"9","8","10338100104",1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,2,1,2,1,2,2,2,1,1,2,1,2,2,2,2,2,1,1,3,2,2,1,2,2,1,2,2,2,3,1,2,2,2,2,2,2,3,2,2,3,3,2,2
"10","9","10339100104",3,2,2,3,3,3,2,3,3,2,3,3,2,3,2,3,2,3,2,2,3,2,3,3,2,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,4,3,4,3,3,4,3,4,4,3,4,3,3,3,3,4,3,4,4,4,3,5,5,4,3
"11","10","10340100104",3,2,2,3,3,3,2,3,3,2,3,3,2,3,2,3,2,3,2,2,3,2,3,3,2,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,4,3,4,3,3,4,3,4,4,3,4,3,3,3,3,4,3,4,4,4,3,5,5,4,3
"12","11","10341100104",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,2,2,1,1,1,1,1,2,1,2,1,1,2,1,2,2,2,2,1,2,2,1,2,2,2,3,2,1,3,3,2,1
"13","13","10299100104",1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,1,1,1,1,1,2,1,2,1,1,2,1,2,2,2,2,1,2,2,1,2,2,2,3,2,1,3,3,2,1
